Age,Salary,CreditScore,Gender,SpendingScore,MembershipYears,PreviousPurchases,Purchased
31,106669,460,Female,23,13,10,0
40,138193,499,Male,68,13,6,1
57,64435,515,Male,21,11,44,1
38,24529,511,Male,21,9,44,1
33,103055,807,Female,1,9,20,0
62,32192,315,Female,15,6,0,0
35,94102,797,Male,17,2,29,0
64,92762,631,Female,51,0,18,0
41,123466,850,Male,63,2,46,1
43,134894,555,Female,14,8,45,1
42,106795,471,Male,59,4,28,1
62,54087,797,Male,83,6,34,1
58,86677,770,Female,50,2,19,0
46,24627,683,Female,34,3,35,0
32,76541,888,Female,6,0,38,0
62,132805,806,Female,49,2,0,0
18,88226,826,Female,6,6,22,0
42,125627,624,Male,69,3,30,1
24,23255,513,Male,7,14,34,0
26,77433,507,Male,97,1,46,1
41,25213,468,Female,77,13,44,1
18,122412,629,Female,51,4,21,1
61,39404,579,Male,1,14,45,1
25,136545,604,Male,13,4,6,0
41,45380,445,Male,43,14,32,1
28,111056,815,Male,27,1,44,1
34,39173,389,Female,71,14,35,1
25,148833,752,Male,3,14,43,1
52,73027,359,Female,58,10,6,0
52,43989,610,Male,89,5,26,0
50,128106,827,Female,97,9,1,1
22,44519,526,Female,17,3,16,0
59,145803,773,Female,45,13,0,1
56,42439,840,Female,78,0,45,1
58,138570,378,Male,58,2,29,0
45,96949,732,Male,56,13,21,1
24,34995,452,Male,54,8,27,0
26,43559,700,Female,87,9,32,1
25,148028,578,Male,88,6,25,1
29,130887,356,Male,29,12,34,1
51,109049,485,Male,54,5,10,0
50,25021,697,Female,27,13,6,0
40,118000,457,Female,45,0,27,0
41,41119,658,Female,87,8,24,1
54,71539,739,Male,31,12,40,1
52,114835,888,Male,36,8,30,1
61,59350,765,Male,81,0,2,0
57,66223,745,Female,61,13,32,1
39,45517,787,Male,37,12,33,1
44,98653,829,Female,67,12,20,1
52,42250,372,Female,36,14,36,1
18,104486,316,Female,5,5,48,1
52,102895,830,Female,46,6,18,0
54,109132,625,Male,79,1,36,1
64,111066,845,Male,52,9,20,1
31,86798,895,Female,49,7,13,1
20,74199,501,Male,6,7,9,0
18,143823,643,Female,10,5,6,0
22,79546,822,Male,96,8,28,1
43,148180,699,Male,23,2,39,0
31,125686,517,Female,17,1,7,0
56,108151,744,Female,84,1,38,1
44,23327,521,Female,44,5,12,0
26,140318,682,Female,41,6,45,1
32,49768,891,Male,15,5,18,0
32,84418,306,Female,44,10,10,0
43,114386,571,Male,58,2,1,0
59,136947,315,Female,86,4,48,1
30,62788,723,Male,50,7,5,0
49,135945,823,Female,52,5,28,1
56,102384,320,Male,70,1,40,1
49,66830,527,Male,68,14,4,1
21,72446,587,Male,63,6,40,1
47,125078,433,Female,58,7,29,1
54,35160,582,Female,23,3,38,0
40,76583,703,Female,44,11,35,1
56,53998,365,Female,83,0,26,0
62,47230,736,Male,95,1,49,1
32,29076,558,Male,44,3,17,0
60,89341,402,Male,52,6,48,1
46,51085,866,Female,67,1,35,1
53,75571,400,Male,28,5,15,0
30,34715,497,Male,67,1,4,0
49,148308,525,Female,78,11,8,1
24,25750,762,Female,18,6,33,0
39,133931,536,Male,27,1,33,0
45,98768,325,Female,51,2,35,0
19,138544,420,Female,60,8,30,1
59,55903,805,Female,74,12,19,1
62,92489,481,Female,49,14,16,1
23,52093,842,Male,15,3,19,0
45,111036,614,Male,83,13,27,1
45,107954,572,Male,73,4,20,1
61,139277,531,Male,68,8,18,1
61,54314,719,Male,15,6,2,0
37,68225,741,Female,51,7,29,1
47,107985,795,Male,48,14,4,0
28,103014,323,Male,72,10,41,1
45,55179,408,Female,1,2,5,0
42,137305,801,Female,7,10,2,0
56,132417,324,Female,53,10,48,1
50,45338,486,Male,31,3,41,0
18,112435,587,Female,18,6,23,0
44,89681,637,Female,12,3,43,0
30,52101,336,Female,48,1,0,0
58,22775,436,Male,30,13,49,1
20,131497,807,Female,97,9,35,1
56,117183,526,Female,7,5,14,0
23,65619,619,Male,92,8,40,1
25,65838,481,Female,3,1,37,0
44,141316,385,Male,63,0,43,1
26,39539,766,Male,6,7,17,0
54,122274,352,Female,95,0,22,1
50,77124,534,Male,15,0,46,1
59,85149,732,Female,71,2,28,0
61,46616,795,Female,43,4,40,0
41,99655,399,Female,94,12,21,1
32,110695,898,Female,91,11,23,1
49,74567,702,Male,81,8,44,1
49,57099,695,Female,18,10,47,1
41,95831,826,Female,22,9,12,0
58,120246,714,Female,61,1,32,1
29,81799,762,Male,61,11,49,1
56,140714,840,Male,53,11,21,1
19,110221,663,Female,26,0,34,0
20,134879,429,Male,91,0,16,0
54,45479,383,Male,40,7,21,0
34,66172,570,Female,88,9,4,0
19,119165,543,Female,8,9,24,0
19,75863,687,Female,21,9,5,0
45,62043,513,Female,93,1,16,0
40,102569,465,Female,43,12,30,1
54,122438,358,Male,21,8,16,0
49,130107,803,Female,3,8,32,0
50,35408,422,Female,31,1,38,0
18,142275,712,Female,27,2,47,1
36,77980,438,Female,27,1,36,0
19,102956,528,Female,73,5,47,1
61,36351,573,Male,57,14,3,0
43,24131,738,Female,97,6,42,1
49,136836,861,Male,33,11,13,0
23,64825,417,Female,90,5,12,0
49,31349,782,Female,92,2,26,0
21,80931,694,Female,44,11,23,0
28,64254,759,Male,43,14,26,1
34,58225,377,Female,31,2,7,0
55,124383,711,Female,65,11,46,1
41,32453,374,Female,84,1,49,1
22,38814,594,Female,76,1,38,1
51,38263,320,Female,17,10,20,0
23,97694,470,Female,15,11,40,1
39,35735,314,Female,34,4,10,0
28,35830,510,Male,80,10,30,1
33,67893,859,Female,4,10,26,0
50,64673,385,Female,72,7,41,1
26,147006,448,Female,98,5,45,1
23,109462,671,Male,89,8,47,1
33,65066,779,Male,79,10,26,1
46,120315,450,Female,28,4,7,0
20,23373,440,Male,73,9,32,1
37,30335,368,Female,2,3,11,0
53,43741,559,Female,17,8,34,1
36,30692,820,Male,58,11,33,1
43,67295,670,Female,74,9,15,0
20,65541,718,Male,9,10,35,1
36,54057,400,Male,31,13,1,0
37,86983,542,Male,66,4,11,0
49,39583,811,Female,88,0,26,0
24,42765,854,Female,62,4,16,0
58,79287,394,Female,19,14,19,0
50,43906,525,Female,81,4,20,0
57,140747,817,Female,74,4,29,1
56,105103,513,Female,55,12,41,1
35,99675,366,Female,28,1,19,0
57,66525,695,Male,92,12,7,1
18,58230,311,Female,50,5,17,0
28,137904,536,Female,65,4,17,1
45,39520,698,Female,3,1,17,0
42,105238,706,Male,79,11,1,1
40,71934,779,Male,52,9,11,0
48,45566,521,Male,10,14,31,0
47,93193,455,Female,21,14,41,1
59,123224,727,Male,37,13,7,1
52,50134,457,Male,15,7,9,0
24,30345,715,Female,87,5,10,0
33,141012,625,Female,78,10,13,1
43,141015,670,Female,79,9,25,1
19,61185,643,Male,74,11,46,1
18,135464,561,Female,9,10,29,1
29,112949,582,Female,44,2,41,1
22,90744,528,Female,39,8,3,0
54,53455,579,Female,5,12,38,1
49,135217,589,Female,25,10,10,0
26,48018,346,Female,56,10,23,0
58,74219,513,Male,90,13,21,1
52,65991,323,Female,64,3,2,0
36,93616,620,Male,72,2,36,1
33,107438,573,Male,86,6,1,0
20,136841,855,Female,52,11,11,1
37,29486,612,Male,89,12,20,1
41,58862,662,Male,76,14,4,0
50,141662,679,Male,9,13,6,0
41,78870,769,Female,10,7,3,0
28,106694,415,Male,10,6,42,1
25,125996,341,Male,73,0,40,1
53,63856,678,Male,62,0,35,0
55,121407,505,Male,90,12,21,1
57,120744,765,Female,99,4,28,1
37,106055,579,Female,91,14,8,1
52,51379,417,Male,60,13,25,1
42,84729,536,Female,95,7,11,1
52,48378,608,Female,19,13,47,1
42,125428,755,Male,38,9,0,0
46,74353,774,Female,6,10,7,0
35,69996,399,Female,15,2,32,0
63,34031,560,Male,93,7,3,0
35,100072,604,Male,47,2,13,0
19,85982,653,Female,45,3,28,0
52,56683,585,Female,5,9,13,0
33,134091,627,Female,78,6,8,0
58,137797,402,Female,53,2,8,0
53,37618,362,Male,66,3,25,0
50,26587,581,Male,62,7,48,1
21,82790,740,Male,23,3,46,1
50,51480,592,Male,44,8,41,1
31,118530,306,Male,52,3,16,0
38,40527,391,Female,46,12,40,1
37,43569,489,Female,19,13,3,0
25,31151,775,Male,88,3,45,1
24,91094,810,Male,84,12,2,1
20,79174,761,Male,47,4,28,1
34,64739,352,Female,91,0,24,0
50,52954,785,Female,52,6,20,0
29,132984,789,Female,24,8,11,0
39,132863,663,Male,17,11,0,1
39,129373,411,Male,89,8,0,0
63,55303,708,Male,46,0,44,1
47,54700,306,Male,64,14,45,1
55,113036,496,Male,95,5,47,1
55,143728,666,Female,28,2,6,0
62,87568,549,Male,50,3,9,0
25,86788,894,Female,64,7,14,1
44,91045,539,Female,28,14,39,1
44,57842,679,Female,86,3,10,0
51,33900,770,Female,56,7,45,1
38,147992,754,Female,59,3,44,1
47,100059,665,Male,5,8,22,0
50,21881,589,Male,54,5,12,0
45,53037,702,Male,44,0,26,0
64,21630,357,Female,42,12,40,0
50,40789,820,Female,72,9,16,0
22,146083,603,Female,92,1,49,1
36,108059,414,Female,57,6,12,0
21,103494,509,Female,47,9,11,0
52,66151,340,Female,76,6,28,1
34,68920,472,Male,25,2,20,0
61,129388,533,Female,44,0,19,0
45,87231,889,Female,15,7,19,0
47,137946,702,Male,51,12,30,1
46,100357,338,Female,53,12,7,1
63,23262,418,Male,34,9,23,0
23,86981,634,Male,77,13,10,1
52,140951,635,Male,8,10,38,1
58,143099,838,Female,77,14,32,1
54,101972,373,Male,70,10,41,1
41,95485,490,Male,96,9,14,1
46,74722,623,Female,21,14,3,0
63,109499,446,Male,7,6,0,0
48,70818,583,Female,90,9,31,1
52,49932,512,Female,79,7,10,0
50,26901,693,Male,56,0,29,0
38,137473,638,Female,49,13,36,1
49,119023,321,Female,42,2,18,0
40,28597,404,Male,23,12,35,0
50,149631,765,Male,52,1,33,1
20,83909,758,Male,79,0,6,0
35,92391,731,Male,53,4,44,1
42,104214,520,Female,16,2,19,0
59,28263,678,Male,96,9,11,0
48,83293,521,Male,37,14,31,1
20,132824,557,Male,18,7,1,0
57,144933,666,Female,20,5,21,0
63,45805,648,Female,46,9,40,1
41,111679,524,Female,2,13,47,1
49,31874,535,Female,87,8,39,1
64,113065,482,Female,94,8,23,1
39,106402,743,Male,63,10,49,1
40,34079,305,Female,3,5,30,0
19,69850,535,Female,46,1,3,0
44,92779,426,Female,49,8,23,1
59,115408,403,Male,1,1,42,0
19,29018,779,Male,22,2,16,0
43,140606,454,Female,93,5,39,1
34,69500,556,Male,14,1,18,0
57,140062,534,Female,92,4,39,1
50,32100,799,Male,85,1,37,1
26,77021,588,Male,45,11,33,1
60,134995,809,Female,96,3,46,1
56,39800,851,Male,6,14,32,1
46,148126,868,Female,65,10,5,1
59,83400,597,Female,21,10,35,1
43,112446,436,Female,4,2,12,0
52,49437,675,Male,3,4,46,0
42,123124,386,Male,30,5,8,0
41,96537,718,Female,31,12,34,1
30,66675,498,Female,34,6,33,0
24,39942,762,Male,83,9,15,1
53,40862,736,Female,20,7,17,0
62,31669,609,Male,87,8,17,0
37,141219,895,Male,54,13,37,1
18,73772,580,Male,25,3,49,0
25,35916,622,Female,15,3,42,0
63,30878,451,Female,38,6,31,0
33,22985,601,Male,23,11,6,0
31,117905,577,Female,52,14,22,1
29,93648,307,Female,66,9,22,1
40,61235,534,Male,57,9,45,1
32,38931,860,Male,57,10,17,1
45,112876,601,Female,79,8,6,0
51,20336,337,Male,52,10,41,1
19,62933,435,Female,35,1,39,1
49,104899,720,Male,74,12,23,1
40,65536,518,Male,14,10,13,0
39,89504,647,Female,91,5,49,1
42,119214,845,Female,14,9,4,0
39,71148,378,Female,99,9,45,1
39,133936,572,Female,33,7,21,0
59,36279,460,Female,52,12,21,0
23,88665,607,Male,1,4,9,0
32,123751,673,Male,34,4,25,1
60,124433,308,Female,19,7,14,0
54,91386,743,Male,24,0,37,0
50,106124,412,Female,4,5,40,0
25,125750,504,Male,36,9,41,1
61,97485,704,Male,77,12,48,1
61,94055,496,Female,58,8,0,0
22,111911,414,Female,32,11,13,0
56,118618,420,Female,9,5,35,0
21,97273,364,Male,80,14,30,1
23,86670,575,Female,67,6,27,1
62,96474,538,Female,20,3,33,0
49,74028,601,Female,74,11,34,1
47,110022,691,Female,62,9,38,1
64,133892,821,Female,58,0,22,0
52,111632,668,Female,22,8,45,1
57,126651,532,Male,67,11,43,1
33,91128,494,Male,75,5,18,0
30,38108,311,Male,89,2,17,0
59,72495,476,Male,48,3,14,0
47,102806,516,Female,8,9,0,0
36,113185,310,Female,73,11,24,1
34,96533,745,Male,15,5,25,0
36,119025,463,Male,32,5,34,1
45,76830,850,Male,53,11,14,0
43,94640,352,Female,67,8,3,0
54,72509,517,Female,4,3,14,0
43,86406,659,Female,30,4,41,1
40,114220,684,Male,13,4,37,0
26,59519,355,Male,21,2,44,0
29,69649,417,Male,41,1,38,0
18,54524,552,Male,19,7,0,0
18,116493,479,Male,48,9,21,0
64,53885,714,Female,86,14,10,1
51,64369,534,Female,63,8,45,1
49,121132,379,Female,20,9,37,1
42,115402,321,Female,64,10,36,1
57,50676,776,Female,37,12,25,1
62,84093,739,Male,31,8,26,0
18,67764,869,Female,74,13,12,1
33,70799,392,Male,18,4,6,0
56,99414,491,Female,20,10,7,0
22,125296,402,Male,82,8,45,1
39,113095,695,Male,11,3,22,0
46,132082,306,Male,86,1,25,1
20,92307,866,Male,44,2,43,1
29,102062,530,Male,82,0,26,1
43,115432,873,Male,64,4,8,1
33,51923,539,Female,34,0,45,0
54,137449,389,Male,87,11,37,1
39,121739,531,Male,65,10,46,1
46,124926,756,Female,55,0,12,0
31,98388,532,Male,74,13,6,1
45,67574,653,Female,1,10,10,0
22,63391,632,Female,38,10,9,0
64,148691,738,Male,9,12,32,1
47,141757,674,Male,95,6,38,1
63,73664,591,Female,71,1,49,1
22,87384,644,Male,17,14,2,0
29,51027,727,Female,99,7,40,1
33,55464,429,Male,52,5,28,0
43,54485,440,Female,18,3,36,0
43,148366,714,Male,63,8,44,1
38,39456,392,Male,33,14,15,0
56,94795,583,Female,4,9,15,0
53,55554,522,Female,87,7,43,1
50,66922,762,Female,75,12,49,1
47,33409,844,Female,52,9,42,1
54,89327,575,Male,9,2,48,0
40,111400,439,Female,64,2,6,0
27,56639,656,Female,30,3,14,0
22,120110,322,Male,8,13,37,1
53,83627,569,Male,5,8,5,0
51,103424,632,Female,76,8,17,1
48,39692,384,Male,63,4,18,0
27,109037,330,Female,1,11,1,0
36,98840,539,Male,15,8,2,0
49,74200,662,Female,89,5,45,1
18,113063,688,Male,82,7,24,1
22,77415,598,Female,38,10,35,1
62,38074,670,Female,42,7,48,1
21,35549,398,Male,46,11,27,1
33,49963,346,Male,53,9,37,1
41,111456,721,Female,26,14,27,1
33,116362,779,Female,61,6,31,1
19,121607,878,Male,67,3,40,1
45,72265,361,Male,54,3,35,0
49,36061,408,Male,22,5,38,0
44,78226,848,Male,26,13,35,1
37,48810,418,Male,83,8,42,1
41,80006,897,Male,60,6,22,1
29,142538,681,Male,39,4,1,0
52,133502,691,Male,36,4,9,0
50,42800,351,Male,21,7,5,0
50,136192,588,Female,41,5,7,0
60,128959,636,Male,48,0,14,0
54,145433,503,Male,26,0,44,1
29,127228,537,Female,63,8,28,1
20,95476,681,Female,77,7,27,1
18,89460,435,Female,36,5,21,0
50,77767,706,Female,24,12,33,1
57,48054,807,Female,90,0,19,0
27,95319,661,Female,21,13,32,1
60,122789,680,Male,18,1,14,0
61,65397,875,Female,15,9,6,0
46,33233,553,Female,79,2,23,0
30,131205,776,Female,6,9,25,1
29,110020,413,Male,43,11,49,1
48,45068,319,Female,31,2,9,0
63,85727,827,Male,28,1,14,0
19,110610,444,Female,8,11,36,1
52,90453,507,Female,29,1,23,0
40,124135,830,Male,21,5,10,0
34,45832,675,Male,81,6,39,1
43,128464,803,Female,88,3,20,1
25,106242,465,Male,58,0,39,1
46,33682,849,Male,60,5,37,1
43,112298,480,Female,50,6,14,0
27,43383,743,Female,31,3,14,0
43,78160,631,Female,47,5,36,1
51,113332,802,Male,34,8,44,1
58,43666,378,Female,2,3,13,0
24,78817,884,Female,67,11,42,1
21,111198,695,Male,94,14,20,1
62,130695,402,Male,72,13,43,1
28,54642,701,Female,52,9,19,0
46,61830,523,Male,7,3,32,0
53,123067,817,Female,76,9,2,1
42,30234,535,Male,19,11,39,0
38,77616,726,Female,90,4,22,0
53,29221,415,Male,92,2,43,1
27,31410,462,Male,15,9,46,1
54,100055,525,Male,78,1,22,1
26,81413,529,Male,48,14,26,1
41,21051,481,Female,14,8,34,0
52,130529,548,Male,3,12,24,1
52,95301,617,Female,50,0,31,0
53,96918,509,Male,93,4,21,0
35,98116,691,Male,54,4,7,0
56,142226,395,Female,6,7,37,1
49,76563,385,Male,49,5,17,0
41,117859,714,Male,23,5,27,1
40,64757,693,Female,92,5,27,1
49,146169,800,Male,78,3,10,0
54,141008,881,Female,78,14,11,1
29,97475,432,Male,20,0,1,0
30,71257,613,Male,77,2,36,1
40,115500,520,Male,91,12,3,1
42,20307,737,Female,60,12,40,1
52,76889,345,Male,99,14,44,1
58,88895,491,Male,45,9,44,1
47,115184,819,Male,61,11,46,1
34,55944,678,Male,56,10,33,1
37,119555,633,Male,2,5,22,0
42,58134,338,Male,45,4,12,0
39,47323,592,Male,40,9,6,0
30,136205,461,Male,24,0,31,0
36,91762,630,Male,29,4,22,0
53,107225,403,Female,67,1,48,1
29,116507,460,Male,68,0,7,0
58,45954,353,Female,66,3,49,0
36,75021,333,Female,84,5,46,1
29,109959,541,Female,54,6,46,1
26,115927,412,Male,53,8,36,1
24,99866,617,Female,79,4,33,1
45,90427,322,Female,49,7,47,1
31,24992,857,Female,32,7,28,1
48,21961,417,Male,61,10,36,1
36,32497,511,Female,42,8,22,0
64,137551,717,Male,1,2,37,0
33,52551,412,Female,63,2,28,1
22,96384,343,Female,35,8,43,1
52,145374,427,Male,51,6,4,0
29,75755,457,Male,71,14,39,1
42,33255,693,Female,45,3,10,0
38,24567,811,Female,77,14,13,0
53,68847,344,Female,65,0,48,1
40,124817,407,Male,14,6,41,0
33,68003,518,Male,93,9,1,1
56,40389,742,Female,3,5,34,0
62,64523,614,Female,24,2,44,0
59,143802,476,Male,65,13,48,1
56,81576,527,Male,48,4,34,1
31,147342,566,Female,10,2,41,1
48,63919,678,Male,13,7,27,0
22,102103,788,Female,73,4,7,0
52,142443,589,Male,14,9,31,1
40,23358,656,Female,10,9,3,0
46,108535,503,Female,40,5,44,1
60,127894,512,Female,23,1,6,0
28,141485,851,Male,99,7,38,1
35,96524,622,Female,55,8,47,1
64,143416,893,Female,63,2,26,1
29,125982,480,Male,71,12,36,1
26,117057,798,Female,42,14,16,1
27,25698,619,Female,99,5,9,0
61,86809,382,Female,66,5,3,0
34,113079,602,Male,79,1,22,1
55,75805,561,Male,73,9,13,0
24,51349,499,Male,47,7,4,0
63,96777,539,Male,81,4,1,0
30,70248,594,Female,52,10,45,1
57,95033,811,Male,18,10,23,0
59,127411,695,Male,79,7,17,1
26,118239,437,Male,18,13,26,0
44,64041,428,Female,24,12,23,0
19,51954,348,Female,23,13,28,0
22,28002,592,Female,12,7,10,0
46,89783,835,Male,23,14,47,1
54,127524,610,Female,21,11,17,0
55,107234,836,Female,64,2,47,1
36,144857,533,Male,90,4,3,0
25,39738,508,Female,72,6,32,0
62,30703,393,Male,94,4,13,0
18,133776,626,Male,34,5,43,1
39,69422,524,Female,2,1,41,0
34,103106,310,Male,69,7,31,1
24,81899,628,Male,31,4,3,0
42,32392,311,Male,97,5,19,0
62,64724,334,Male,68,0,20,0
21,52299,746,Male,70,9,2,0
53,35641,751,Male,87,1,24,0
23,99534,519,Female,19,10,3,0
48,26305,740,Male,72,3,46,1
36,118262,834,Male,13,10,10,1
61,38782,894,Male,65,8,15,0
56,98257,528,Male,6,5,35,0
44,125299,643,Female,71,7,5,1
27,97963,379,Female,27,1,30,0
43,132086,652,Male,79,9,39,1
36,141987,695,Female,52,14,12,1
56,40566,589,Male,98,4,22,0
20,144591,754,Male,87,11,3,1
62,87766,427,Male,48,11,36,1
30,26511,842,Male,88,12,41,1
45,134816,658,Female,79,0,36,1
37,127765,826,Female,99,3,43,1
45,138360,612,Male,68,9,32,1
25,46177,374,Male,44,0,41,0
58,24765,845,Female,17,10,28,0
56,40354,495,Female,95,10,36,1
18,43929,328,Male,38,8,18,0
20,48820,315,Female,10,1,19,0
30,131576,722,Male,54,6,31,1
45,49523,888,Female,91,2,43,1
42,91088,892,Female,6,13,15,0
50,86163,704,Female,6,1,4,0
55,97525,830,Female,52,12,48,1
23,33780,376,Male,15,3,45,0
61,26589,528,Male,68,6,11,0
62,54812,596,Female,57,6,44,1
49,113664,809,Male,56,8,20,0
62,65939,872,Female,7,11,13,0
64,71493,837,Female,51,12,36,1
38,124188,882,Male,58,2,21,1
33,113326,625,Male,64,6,29,1
38,60953,662,Male,26,5,22,0
28,85785,658,Female,58,9,4,0
54,39309,623,Male,31,6,28,0
53,74195,625,Male,66,6,29,1
52,135662,464,Male,92,9,17,1
36,45901,872,Male,13,4,45,0
37,43576,754,Female,18,8,49,1
35,51508,452,Female,94,6,0,0
64,94711,426,Female,75,6,38,1
58,45464,492,Female,13,11,16,0
31,80281,829,Female,24,13,2,0
32,36260,309,Female,57,2,41,0
48,144997,391,Female,29,0,6,0
18,55440,438,Male,56,13,26,1
20,115082,780,Female,54,13,27,1
33,125583,748,Female,5,4,43,1
40,76683,632,Female,35,7,30,0
28,144206,639,Female,19,4,14,0
29,61430,351,Male,55,9,47,1
27,21987,765,Female,77,2,7,0
49,134778,774,Female,69,8,5,0
33,45105,700,Male,44,1,27,0
25,98484,738,Female,78,14,3,1
55,138747,897,Female,38,2,29,0
29,33026,808,Female,62,11,42,1
41,88309,452,Female,22,3,16,0
45,65927,813,Female,73,9,33,1
25,95414,802,Female,40,0,5,0
45,77535,305,Female,26,10,35,1
53,62946,799,Male,5,3,34,0
43,146503,417,Male,93,3,38,1
25,76561,784,Female,54,8,38,1
45,30377,767,Male,86,7,15,1
45,73592,460,Female,49,1,1,0
54,27347,569,Male,3,12,7,0
58,53776,355,Female,92,6,14,0
53,23783,527,Male,38,5,26,0
44,75798,448,Female,14,6,15,0
34,24298,345,Male,47,10,0,0
26,90204,443,Male,14,3,9,0
50,106207,639,Female,75,13,6,0
37,120356,712,Female,73,13,47,1
30,75161,819,Male,38,4,9,0
45,80652,643,Male,64,5,11,0
46,54484,686,Female,44,8,16,0
30,118614,772,Male,70,1,44,1
63,149572,574,Female,65,10,11,1
52,132695,652,Male,25,8,14,1
23,40922,365,Male,16,9,45,0
35,54028,378,Female,15,0,31,0
22,131461,897,Female,98,3,31,1
64,40316,501,Female,81,11,25,1
42,96996,857,Male,3,4,13,0
19,36968,412,Male,67,8,49,1
27,50266,390,Male,37,14,25,1
47,145679,440,Female,81,5,4,0
62,115745,588,Male,55,3,37,1
22,44000,888,Male,38,1,49,1
50,143239,710,Female,63,4,45,1
18,34011,676,Male,1,7,3,0
35,22866,683,Male,71,7,27,1
49,132669,451,Female,90,5,0,0
64,25898,618,Female,19,10,12,0
28,38395,668,Female,52,0,42,1
38,59019,859,Female,30,14,2,0
43,123243,761,Female,55,7,48,1
42,24006,311,Female,14,3,49,0
39,54393,455,Female,13,14,24,0
44,30956,776,Female,84,13,41,1
30,70042,700,Female,90,1,15,0
50,116199,476,Male,27,0,20,0
51,26078,640,Female,89,6,12,0
58,49631,356,Female,9,1,43,0
52,115676,747,Male,41,12,35,1
18,141724,502,Female,48,3,7,0
38,82901,501,Male,12,3,43,0
23,127227,629,Male,10,12,18,0
45,89497,662,Female,6,9,46,1
34,114813,753,Male,34,14,15,1
22,137192,655,Female,52,0,11,0
48,61574,515,Female,41,1,19,0
22,138494,854,Male,83,0,17,1
55,51417,322,Male,6,5,11,0
20,108020,454,Male,2,12,47,1
40,103639,485,Female,15,2,24,0
54,85006,548,Female,17,0,10,0
54,114881,433,Male,16,11,21,0
27,131862,620,Female,28,7,45,1
27,59454,689,Female,85,13,33,1
36,21587,733,Male,72,11,12,0
34,141688,321,Male,10,13,45,1
38,128107,899,Male,10,3,37,1
31,135584,424,Male,10,9,11,0
26,74710,378,Male,73,6,38,1
63,143157,350,Male,28,9,35,1
18,106567,475,Male,24,1,27,0
62,111748,552,Male,19,14,26,1
30,95886,545,Male,97,5,38,1
21,38816,405,Male,68,5,12,0
18,105824,492,Female,56,6,42,1
57,49432,615,Female,67,11,39,1
49,129758,601,Male,42,0,26,0
51,68617,847,Female,12,13,30,1
45,92373,567,Female,18,11,1,0
48,54217,469,Female,23,0,17,0
25,40884,850,Female,84,14,25,1
56,25454,754,Female,6,1,41,0
43,94960,591,Female,53,13,30,1
51,122421,863,Male,98,10,37,1
20,127173,440,Male,42,1,21,0
